Algorithm,NumShards,CV%,StdDev,Mean,MinPercent,MaxPercent,Delta,DeltaPercent,TotalKeys
SHA-512,152,7.7430,509.41,6578.95,0.5322,0.7776,2454,0.2454,1000000
SHA-512,153,7.6570,500.46,6535.95,0.5307,0.7721,2414,0.2414,1000000
SHA-512,154,7.6490,496.69,6493.51,0.5307,0.7721,2414,0.2414,1000000
SHA-512,155,7.5333,486.02,6451.61,0.5282,0.7606,2324,0.2324,1000000
SHA-512,156,7.3655,472.14,6410.26,0.5250,0.7503,2253,0.2253,1000000
SHA-512,157,7.2495,461.75,6369.43,0.5221,0.7497,2276,0.2276,1000000
SHA-512,158,7.2550,459.18,6329.11,0.5221,0.7379,2158,0.2158,1000000
SHA-512,159,7.2851,458.18,6289.31,0.5213,0.7370,2157,0.2157,1000000
SHA-512,160,7.3004,456.28,6250.00,0.5021,0.7319,2298,0.2298,1000000
SHA-512,161,7.1520,444.22,6211.18,0.5021,0.7236,2215,0.2215,1000000
SHA-512,162,7.1497,441.34,6172.84,0.5004,0.7213,2209,0.2209,1000000
SHA-512,163,7.2903,447.26,6134.97,0.4945,0.7187,2242,0.2242,1000000
SHA-512,164,7.2907,444.55,6097.56,0.4940,0.7138,2198,0.2198,1000000
SHA-512,165,7.3025,442.58,6060.61,0.4872,0.7101,2229,0.2229,1000000
SHA-512,166,7.2562,437.12,6024.10,0.4872,0.7006,2134,0.2134,1000000
SHA-512,167,7.1965,430.93,5988.02,0.4859,0.6904,2045,0.2045,1000000
SHA-512,168,7.1727,426.95,5952.38,0.4824,0.6896,2072,0.2072,1000000
SHA-512,169,7.1563,423.45,5917.16,0.4754,0.6896,2142,0.2142,1000000
SHA-512,170,7.1610,421.24,5882.35,0.4728,0.6893,2165,0.2165,1000000
SHA-512,171,7.1190,416.32,5847.95,0.4685,0.6892,2207,0.2207,1000000
SHA-512,172,7.1477,415.56,5813.95,0.4685,0.6892,2207,0.2207,1000000
SHA-512,173,7.0936,410.03,5780.35,0.4671,0.6846,2175,0.2175,1000000
SHA-512,174,6.9222,397.83,5747.13,0.4659,0.6769,2110,0.2110,1000000
SHA-512,175,6.9109,394.91,5714.29,0.4650,0.6744,2094,0.2094,1000000
SHA-512,176,6.7616,384.18,5681.82,0.4643,0.6716,2073,0.2073,1000000
SHA-512,177,6.8460,386.78,5649.72,0.4643,0.6716,2073,0.2073,1000000
SHA-512,178,6.8039,382.24,5617.98,0.4642,0.6528,1886,0.1886,1000000
SHA-512,179,6.8885,384.83,5586.59,0.4627,0.6528,1901,0.1901,1000000
SHA-512,180,6.8832,382.40,5555.56,0.4615,0.6440,1825,0.1825,1000000
SHA-512,181,6.9034,381.40,5524.86,0.4600,0.6415,1815,0.1815,1000000
SHA-512,182,6.8699,377.47,5494.51,0.4562,0.6410,1848,0.1848,1000000
SHA-512,183,6.9808,381.46,5464.48,0.4551,0.6410,1859,0.1859,1000000
SHA-512,184,7.0039,380.65,5434.78,0.4491,0.6343,1852,0.1852,1000000
SHA-512,185,7.0107,378.96,5405.41,0.4491,0.6339,1848,0.1848,1000000
SHA-512,186,7.0080,376.77,5376.34,0.4491,0.6315,1824,0.1824,1000000
SHA-512,187,6.9384,371.04,5347.59,0.4483,0.6315,1832,0.1832,1000000
SHA-512,188,6.9220,368.19,5319.15,0.4456,0.6297,1841,0.1841,1000000
SHA-512,189,6.9423,367.32,5291.01,0.4432,0.6236,1804,0.1804,1000000
SHA-512,190,6.9334,364.92,5263.16,0.4384,0.6234,1850,0.1850,1000000
SHA-512,191,6.9456,363.65,5235.60,0.4348,0.6181,1833,0.1833,1000000
SHA-512,192,6.8356,356.02,5208.33,0.4279,0.6174,1895,0.1895,1000000
SHA-512,193,6.8485,354.84,5181.35,0.4279,0.6174,1895,0.1895,1000000
SHA-512,194,6.8167,351.38,5154.64,0.4269,0.6119,1850,0.1850,1000000
SHA-512,195,6.8050,348.97,5128.21,0.4215,0.6070,1855,0.1855,1000000
SHA-512,196,6.7362,343.69,5102.04,0.4215,0.5999,1784,0.1784,1000000
SHA-512,197,6.7615,343.22,5076.14,0.4199,0.5980,1781,0.1781,1000000
SHA-512,198,6.7771,342.28,5050.51,0.4105,0.5950,1845,0.1845,1000000
SHA-512,199,6.6233,332.83,5025.13,0.4105,0.5801,1696,0.1696,1000000
SHA-512,200,7.5832,329.16,5000.00,0.4105,0.5801,1696,0.1696,1000000
